EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
198,Donald,OConnell,DOCONNEL,650.507.9833,2022/06/21,SH_CLERK,2600, - ,124,50
199,Douglas,Grant,DGRANT,650.507.9844,2023/01/13,SH_CLERK,2600, - ,124,50
200,Jennifer,Whalen,JWHALEN,515.123.4444,2018/09/17,AD_ASST,4400, - ,101,10
201,Michael,Hartstein,MHARTSTE,515.123.5555,2019/02/17,MK_MAN,13000, - ,100,20
202,Pat,Fay,PFAY,603.123.6666,2020/08/17,MK_REP,6000, - ,201,20
203,Susan,Mavris,SMAVRIS,515.123.7777,2017/06/07,HR_REP,6500, - ,101,40
204,Hermann,Baer,HBAER,515.123.8888,2017/06/07,PR_REP,10000, - ,101,70
205,Shelley,Higgins,SHIGGINS,515.123.8080,2017/06/07,AC_MGR,12008, - ,101,121
206,William,Gietz,WGIETZ,515.123.8181,2017/06/07,AC_ACCOUNT,8300, - ,205,110
100,Steven,King,SKING,515.123.4567,2018/06/17,AD_PRES,24000, - , - ,90
101,Neena,Kochhar,NKOCHHAR,515.123.4568,2020/09/21,AD_VP,17000, - ,100,90
102,Lex,De Haan,LDEHAAN,515.123.4569,2016/01/13,AD_VP,17000, - ,100,90
103,Alexander,Hunold,AHUNOLD,590.423.4567,2021/01/03,IT_PROG,9000, - ,102,60
104,Bruce,Ernst,BERNST,590.423.4568,2022/05/21,IT_PROG,6000, - ,103,60
105,David,Austin,DAUSTIN,590.423.4569,2020/06/25,IT_PROG,4800, - ,103,60
106,Valli,Pataballa,VPATABAL,590.423.4560,2021/02/05,IT_PROG,4800, - ,103,60
107,Diana,Lorentz,DLORENTZ,590.423.5567,2022/02/07,IT_PROG,4200, - ,103,60
108,Nancy,Greenberg,NGREENBE,515.124.4569,2017/08/17,FI_MGR,12008, - ,101,100
109,Daniel,Faviet,DFAVIET,515.124.4169,2017/08/16,FI_ACCOUNT,9000, - ,108,100
110,John,Chen,JCHEN,515.124.4269,2020/09/28,FI_ACCOUNT,8200, - ,108,100
111,Ismael,Sciarra,ISCIARRA,515.124.4369,2020/09/30,FI_ACCOUNT,7700, - ,108,100
112,Jose Manuel,Urman,JMURMAN,515.124.4469,2021/03/07,FI_ACCOUNT,7800, - ,108,100
113,Luis,Popp,LPOPP,515.124.4567,2022/12/07,FI_ACCOUNT,6900, - ,108,100
114,Den,Raphaely,DRAPHEAL,515.127.4561,2017/12/07,PU_MAN,11000, - ,100,30
115,Alexander,Khoo,AKHOO,515.127.4562,2018/05/18,PU_CLERK,3100, - ,114,30
116,Shelli,Baida,SBAIDA,515.127.4563,2020/12/24,PU_CLERK,2900, - ,114,30
117,Sigal,Tobias,STOBIAS,515.127.4564,2020/07/24,PU_CLERK,2800, - ,114,30
118,Guy,Himuro,GHIMURO,515.127.4565,2021/11/15,PU_CLERK,2600, - ,114,30
119,Karen,Colmenares,KCOLMENA,515.127.4566,2022/08/10,PU_CLERK,2500, - ,114,30
120,Matthew,Weiss,MWEISS,650.123.1234,2019/07/18,ST_MAN,8000, - ,100,50
121,Adam,Fripp,AFRIPP,650.123.2234,2020/04/10,ST_MAN,8200, - ,100,50
122,Payam,Kaufling,PKAUFLIN,650.123.3234,2018/05/01,ST_MAN,7900, - ,100,50
123,Shanta,Vollman,SVOLLMAN,650.123.4234,2020/10/10,ST_MAN,6500, - ,100,50
124,Kevin,Mourgos,KMOURGOS,650.123.5234,2022/11/16,ST_MAN,5800, - ,100,50
125,Julia,Nayer,JNAYER,650.124.1214,2020/07/16,ST_CLERK,3200, - ,120,50
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,2021/09/28,ST_CLERK,2700, - ,120,50
127,James,Landry,JLANDRY,650.124.1334,2022/01/14,ST_CLERK,2400, - ,120,50
128,Steven,Markle,SMARKLE,650.124.1434,2023/03/08,ST_CLERK,2200, - ,120,50
129,Laura,Bissot,LBISSOT,650.124.5234,2020/08/20,ST_CLERK,3300, - ,121,50
130,Mozhe,Atkinson,MATKINSO,650.124.6234,2020/10/30,ST_CLERK,2800, - ,121,50
131,James,Marlow,JAMRLOW,650.124.7234,2020/02/16,ST_CLERK,2500, - ,121,50
132,TJ,Olson,TJOLSON,650.124.8234,2022/04/10,ST_CLERK,2100, - ,121,50
133,Jason,Mallin,JMALLIN,650.127.1934,2019/06/14,ST_CLERK,3300, - ,122,50
134,Michael,Rogers,MROGERS,650.127.1834,2021/08/26,ST_CLERK,2900, - ,122,50
135,Ki,Gee,KGEE,650.127.1734,2022/12/12,ST_CLERK,2400, - ,122,50
136,Hazel,Philtanker,HPHILTAN,650.127.1634,2023/02/06,ST_CLERK,2200, - ,122,50
137,Renske,Ladwig,RLADWIG,650.121.1234,2018/07/14,ST_CLERK,3600, - ,123,50
138,Stephen,Stiles,SSTILES,650.121.2034,2020/10/26,ST_CLERK,3200, - ,123,50
139,John,Seo,JSEO,650.121.2019,2021/02/12,ST_CLERK,2700, - ,123,50
140,Joshua,Patel,JPATEL,650.121.1834,2021/04/06,ST_CLERK,2500, - ,123,50
141,Joshua One,Patel,JPATEL,650.121.1834,2024/04/06,ST_CLERK,2500, - ,123,50
